Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.004000	0.022628	0.809817	99.883995	81.209999	
0.004000	0.021122	0.808496	99.893997	81.489998	
0.004000	0.019873	0.799730	99.930000	81.439995	
0.004000	0.020405	0.804844	99.911995	81.400002	
0.004000	0.020295	0.796525	99.907997	81.650002	
0.004000	0.019233	0.799808	99.933998	81.639999	
0.004000	0.019488	0.809562	99.909996	81.699997	
0.004000	0.019008	0.800141	99.935997	81.659996	
0.004000	0.019574	0.804257	99.931999	81.650002	
0.004000	0.019549	0.803954	99.925995	81.669998	
0.004000	0.019760	0.795068	99.930000	81.459999	
0.004000	0.019334	0.801627	99.917999	81.790001	
0.004000	0.019561	0.799463	99.927994	81.669998	
0.004000	0.019026	0.797584	99.930000	81.500000	
0.004000	0.019020	0.792652	99.944000	81.599998	
0.004000	0.019416	0.785790	99.933998	81.889999	
0.004000	0.020328	0.791449	99.931999	81.579994	
0.004000	0.020804	0.792154	99.916000	81.769997	
0.004000	0.020918	0.792801	99.927994	81.579994	
0.004000	0.020631	0.795502	99.931999	81.689995	
0.004000	0.021574	0.794708	99.930000	81.589996	
0.004000	0.020765	0.802477	99.927994	81.680000	
0.004000	0.021489	0.791239	99.925995	81.509995	
0.004000	0.021339	0.799754	99.933998	81.720001	
0.004000	0.021821	0.802583	99.933998	81.519997	
0.004000	0.021625	0.798488	99.930000	81.589996	
0.004000	0.021419	0.799336	99.931999	81.549995	
0.004000	0.021610	0.798919	99.927994	81.629997	
0.004000	0.021262	0.805049	99.944000	81.659996	
0.004000	0.021038	0.793065	99.945999	81.610001	
0.004000	0.020893	0.790918	99.933998	81.459999	
0.004000	0.021887	0.799274	99.945999	81.629997	
0.004000	0.021678	0.787549	99.941994	81.809998	
0.004000	0.021886	0.801528	99.945999	81.799995	
0.004000	0.022414	0.801406	99.939995	81.809998	
0.004000	0.022788	0.820421	99.939995	81.599998	
0.004000	0.023237	0.813650	99.927994	81.769997	
0.004000	0.024316	0.820031	99.923996	81.459999	
0.004000	0.024476	0.807780	99.916000	81.309998	
0.004000	0.023775	0.819011	99.931999	81.509995	
0.004000	0.022427	0.812460	99.961998	81.529999	
0.004000	0.022929	0.810867	99.935997	81.369995	
0.004000	0.022849	0.824124	99.945999	81.290001	
0.004000	0.023889	0.816887	99.925995	81.279999	
0.004000	0.027978	0.808923	99.879997	81.689995	
0.004000	0.025609	0.817471	99.930000	81.250000	
0.004000	0.028491	0.814162	99.899994	81.540001	
0.004000	0.025947	0.823948	99.931999	81.680000	
0.004000	0.027501	0.836429	99.899994	81.220001	
0.004000	0.026330	0.834752	99.907997	81.110001	
0.004000	0.029837	0.831053	99.869995	81.199997	
0.004000	0.027185	0.840165	99.895996	81.479996	
0.004000	0.026917	0.850185	99.907997	81.320000	
0.004000	0.025982	0.844082	99.907997	81.279999	
0.004000	0.022953	0.854563	99.947998	81.019997	
0.004000	0.029867	0.859223	99.881996	81.029999	
0.004000	0.029757	0.859900	99.895996	80.629997	
0.004000	0.041644	0.876531	99.792000	80.309998	
0.004000	0.040529	0.848078	99.781998	80.860001	
0.004000	0.036471	0.877450	99.815994	80.549995	
0.004000	0.038602	0.855518	99.820000	81.129997	
0.004000	0.034322	0.868206	99.857994	80.689995	
0.004000	0.041318	0.859023	99.778000	80.699997	
0.004000	0.037995	0.870902	99.787994	80.449997	
0.004000	0.048831	0.864355	99.695999	80.900002	
0.004000	0.036853	0.867338	99.801994	81.009995	
0.004000	0.040643	0.897485	99.764000	80.000000	
